#node	date	numeric date
hCoV_19_USA_WA_UW349_2020_EPI_ISL_418916	2020-03-24	2020.228142
NODE_0000050	2020-02-27	2020.157104
hCoV_19_Germany_NRW_06_2020_EPI_ISL_414505	2020-02-27	2020.157104
NODE_0005243	2020-03-10	2020.188612
NODE_0005244	2020-03-10	2020.190666
hCoV_19_Germany_NRW_14_2020_EPI_ISL_419531	2020-03-11	2020.192623
NODE_0005245	2020-03-11	2020.192623
hCoV_19_Germany_NRW_16_2020_EPI_ISL_417461	2020-03-11	2020.192623
hCoV_19_Germany_NRW_14_2020_EPI_ISL_417459	2020-03-11	2020.192623
NODE_0005246	2020-03-10	2020.190666
NODE_0005247	2020-03-11	2020.192623
hCoV_19_Belgium_ULG_6743_2020_EPI_ISL_418627	2020-03-14	2020.200820
hCoV_19_Germany_NRW_17_2020_EPI_ISL_417462	2020-03-11	2020.192623
NODE_0005248	2020-03-11	2020.192623
hCoV_19_Germany_NRW_16_2020_EPI_ISL_419533	2020-03-11	2020.192623
hCoV_19_Germany_NRW_17_2020_EPI_ISL_419534	2020-03-11	2020.192623
NODE_0000051	2020-02-21	2020.141317
hCoV_19_Senegal_306_2020_EPI_ISL_420069	2020-03-17	2020.209016
NODE_0000052	2020-02-21	2020.141317
hCoV_19_Brazil_SPBR_11_2020_EPI_ISL_416033	2020-03-03	2020.170765
NODE_0000053	2020-02-21	2020.141317
NODE_0000054	2020-02-21	2020.141317
hCoV_19_Poland_PL_P1_2020_EPI_ISL_416488	2020-03-03	2020.170765
NODE_0000055	2020-03-02	2020.168574
NODE_0000056	2020-03-09	2020.185906
hCoV_19_Australia_VIC101_2020_EPI_ISL_419813	2020-03-16	2020.206284
NODE_0000057	2020-03-13	2020.198087
hCoV_19_Iceland_166_2020_EPI_ISL_417759	2020-03-13	2020.198087
hCoV_19_Canada_ON_PHL3670_2020_EPI_ISL_418328	2020-03-20	2020.217213
NODE_0000058	2020-03-02	2020.168574
NODE_0000059	2020-03-02	2020.168574
hCoV_19_Canada_ON_PHL5694_2020_EPI_ISL_418329	2020-03-12	2020.195355
NODE_0000060	2020-03-10	2020.189891
hCoV_19_USA_UT_00010_2020_EPI_ISL_417958	2020-03-10	2020.189891
hCoV_19_Australia_VIC26_2020_EPI_ISL_419745	2020-03-10	2020.189891
NODE_0000061	2020-03-02	2020.168574
NODE_0000062	2020-03-02	2020.168574
hCoV_19_Australia_NSW62_2020_EPI_ISL_417412	2020-03-17	2020.209016
hCoV_19_Finland_14M74_2020_EPI_ISL_418409	2020-03-14	2020.200820
NODE_0000063	2020-03-05	2020.175539
hCoV_19_Australia_VIC93_2020_EPI_ISL_419815	2020-03-15	2020.203552
NODE_0000064	2020-03-05	2020.175539
NODE_0000065	2020-03-19	2020.214417
hCoV_19_Australia_VIC193_2020_EPI_ISL_419889	2020-03-19	2020.214481
NODE_0000066	2020-03-19	2020.214417
hCoV_19_Wales_PHWC_24D69_2020_EPI_ISL_419506	2020-03-20	2020.217213
hCoV_19_Wales_PHWC_264CC_2020_EPI_ISL_422319	2020-03-28	2020.239071
NODE_0000067	2020-03-05	2020.175539
NODE_0000068	2020-03-05	2020.175539
hCoV_19_Wales_PHWC_23D88_2020_EPI_ISL_418112	2020-03-13	2020.198087
hCoV_19_Wales_PHWC_264EA_2020_EPI_ISL_422325	2020-03-28	2020.239071
NODE_0000069	2020-03-05	2020.175539
hCoV_19_Netherlands_ZuidHolland_27_2020_EPI_ISL_415531	2020-03-09	2020.187158
hCoV_19_England_20146049204_2020_EPI_ISL_421985	2020-04-01	2020.250000
NODE_0000070	2020-02-21	2020.141317
hCoV_19_Iceland_142_2020_EPI_ISL_417793	2020-03-13	2020.198087
NODE_0000071	2020-02-24	2020.148612
hCoV_19_Wales_PHWC_25E1A_2020_EPI_ISL_422331	2020-03-25	2020.230874
NODE_0000072	2020-03-01	2020.165508
hCoV_19_Wales_PHWC_2490B_2020_EPI_ISL_419456	2020-03-19	2020.214481
NODE_0000073	2020-03-02	2020.166885
NODE_0000074	2020-03-23	2020.225410
hCoV_19_England_201380277_2020_EPI_ISL_421827	2020-03-24	2020.228142
hCoV_19_England_201380276_2020_EPI_ISL_421826	2020-03-23	2020.225410
NODE_0000075	2020-03-02	2020.166885
NODE_0000076	2020-03-13	2020.197656
NODE_0000077	2020-03-17	2020.209016
hCoV_19_England_20122119202_2020_EPI_ISL_418679	2020-03-17	2020.209016
hCoV_19_Wales_PHWC_26DB2_2020_EPI_ISL_422084	2020-03-30	2020.244536
NODE_0000078	2020-03-14	2020.199541
hCoV_19_England_20124003902_2020_EPI_ISL_418691	2020-03-17	2020.209016
NODE_0000079	2020-03-14	2020.201595
NODE_0000080	2020-03-15	2020.203552
hCoV_19_England_201361007_2020_EPI_ISL_421784	2020-03-26	2020.233607
